seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,score_error,exact_margin,within_margin,preserved
0,0.0,0.04999999999999999,0.04749745292477314,-0.0025025470752268464,0.04999999999999999,decoy,decoy,0.0025025470752268464,0.04999999999999999,True,True
0,0.05,0.023427949999999975,0.020981882036755495,-0.0024460679632444804,0.023427949999999975,decoy,decoy,0.0024460679632444804,0.023427949999999975,True,True
0,0.1,-0.0031441000000000385,-0.005533688851262097,-0.002389588851262059,-0.0031441000000000385,safe,safe,0.002389588851262059,0.0031441000000000385,True,True
0,0.15000000000000002,-0.029716149999999997,-0.032049259739279745,-0.0023331097392797484,-0.029716149999999997,safe,safe,0.0023331097392797484,0.029716149999999997,True,True
0,0.2,-0.05628820000000001,-0.05856483062729739,-0.0022766306272973824,-0.05628820000000001,safe,safe,0.0022766306272973824,0.05628820000000001,True,True
0,0.25,-0.08286025000000002,-0.08508040151531499,-0.002220151515314961,-0.08286025000000002,safe,safe,0.002220151515314961,0.08286025000000002,True,True
0,0.30000000000000004,-0.10943230000000004,-0.11159597240333263,-0.002163672403332595,-0.10943230000000004,safe,safe,0.002163672403332595,0.10943230000000004,True,True
0,0.35000000000000003,-0.13600435000000005,-0.13811154329135023,-0.0021071932913501734,-0.13600435000000005,safe,safe,0.0021071932913501734,0.13600435000000005,True,True
0,0.4,-0.1625764,-0.16462711417936793,-0.0020507141793679184,-0.1625764,safe,safe,0.0020507141793679184,0.1625764,True,True
0,0.45,-0.18914845000000008,-0.19114268506738552,-0.0019942350673854414,-0.18914845000000008,safe,safe,0.0019942350673854414,0.18914845000000008,True,True
0,0.5,-0.21572050000000004,-0.2176582559554031,-0.0019377559554030754,-0.21572050000000004,safe,safe,0.0019377559554030754,0.21572050000000004,True,True
0,0.55,-0.24229255000000005,-0.24417382684342076,-0.0018812768434207094,-0.24229255000000005,safe,safe,0.0018812768434207094,0.24229255000000005,True,True
0,0.6000000000000001,-0.26886460000000006,-0.27068939773143846,-0.001824797731438399,-0.26886460000000006,safe,safe,0.001824797731438399,0.26886460000000006,True,True
0,0.65,-0.2954366500000001,-0.297204968619456,-0.001768318619455922,-0.2954366500000001,safe,safe,0.001768318619455922,0.2954366500000001,True,True
0,0.7000000000000001,-0.3220087000000001,-0.32372053950747365,-0.001711839507473556,-0.3220087000000001,safe,safe,0.001711839507473556,0.3220087000000001,True,True
0,0.75,-0.34858075000000005,-0.3502361103954913,-0.0016553603954912455,-0.34858075000000005,safe,safe,0.0016553603954912455,0.34858075000000005,True,True
0,0.8,-0.37515280000000006,-0.37675168128350894,-0.0015988812835088795,-0.37515280000000006,safe,safe,0.0015988812835088795,0.37515280000000006,True,True
0,0.8500000000000001,-0.4017248500000001,-0.40326725217152654,-0.001542402171526458,-0.4017248500000001,safe,safe,0.001542402171526458,0.4017248500000001,True,True
0,0.9,-0.4282969000000001,-0.42978282305954413,-0.0014859230595440365,-0.4282969000000001,safe,safe,0.0014859230595440365,0.4282969000000001,True,True
0,0.9500000000000001,-0.4548689500000001,-0.45629839394756183,-0.001429443947561726,-0.4548689500000001,safe,safe,0.001429443947561726,0.4548689500000001,True,True
0,1.0,-0.48144100000000006,-0.48281396483557937,-0.0013729648355793045,-0.48144100000000006,safe,safe,0.0013729648355793045,0.48144100000000006,True,True
0,1.05,-0.5080130500000002,-0.5093295357235971,-0.001316485723596883,-0.5080130500000002,safe,safe,0.001316485723596883,0.5080130500000002,True,True
0,1.1,-0.5345851000000001,-0.5358451066116147,-0.001260006611614517,-0.5345851000000001,safe,safe,0.001260006611614517,0.5345851000000001,True,True
0,1.1500000000000001,-0.5611571500000001,-0.5623606774996324,-0.001203527499632262,-0.5611571500000001,safe,safe,0.001203527499632262,0.5611571500000001,True,True
0,1.2000000000000002,-0.5877292000000001,-0.58887624838765,-0.001147048387649896,-0.5877292000000001,safe,safe,0.001147048387649896,0.5877292000000001,True,True
0,1.25,-0.61430125,-0.6153918192756676,-0.00109056927566753,-0.61430125,safe,safe,0.00109056927566753,0.61430125,True,True
0,1.3,-0.6408733000000002,-0.6419073901636851,-0.001034090163684942,-0.6408733000000002,safe,safe,0.001034090163684942,0.6408733000000002,True,True
0,1.35,-0.6674453500000002,-0.668422961051703,-0.000977611051702798,-0.6674453500000002,safe,safe,0.000977611051702798,0.6674453500000002,True,True
0,1.4000000000000001,-0.6940174000000001,-0.6949385319397204,-0.000921131939720321,-0.6940174000000001,safe,safe,0.000921131939720321,0.6940174000000001,True,True
0,1.4500000000000002,-0.7205894500000001,-0.7214541028277381,-0.0008646528277380661,-0.7205894500000001,safe,safe,0.0008646528277380661,0.7205894500000001,True,True
0,1.5,-0.7471615,-0.7479696737157557,-0.0008081737157557001,-0.7471615,safe,safe,0.0008081737157557001,0.7471615,True,True
1,0.0,0.04999999999999999,0.06747116741202769,0.0174711674120277,0.04999999999999999,decoy,decoy,0.0174711674120277,0.04999999999999999,True,True
1,0.05,0.023427949999999975,0.040938067585588045,0.01751011758558807,0.023427949999999975,decoy,decoy,0.01751011758558807,0.023427949999999975,True,True
1,0.1,-0.0031441000000000385,0.014404967759148346,0.017549067759148385,-0.0031441000000000385,safe,decoy,0.017549067759148385,0.0031441000000000385,False,False
1,0.15000000000000002,-0.029716149999999997,-0.012128132067291353,0.017588017932708644,-0.029716149999999997,safe,safe,0.017588017932708644,0.029716149999999997,True,True
1,0.2,-0.05628820000000001,-0.03866123189373105,0.01762696810626896,-0.05628820000000001,safe,safe,0.01762696810626896,0.05628820000000001,True,True
1,0.25,-0.08286025000000002,-0.0651943317201707,0.01766591827982933,-0.08286025000000002,safe,safe,0.01766591827982933,0.08286025000000002,True,True
1,0.30000000000000004,-0.10943230000000004,-0.0917274315466104,0.017704868453389644,-0.10943230000000004,safe,safe,0.017704868453389644,0.10943230000000004,True,True
1,0.35000000000000003,-0.13600435000000005,-0.11826053137305004,0.017743818626950014,-0.13600435000000005,safe,safe,0.017743818626950014,0.13600435000000005,True,True
1,0.4,-0.1625764,-0.14479363119948974,0.017782768800510274,-0.1625764,safe,safe,0.017782768800510274,0.1625764,True,True
1,0.45,-0.18914845000000008,-0.17132673102592944,0.017821718974070644,-0.18914845000000008,safe,safe,0.017821718974070644,0.18914845000000008,True,True
1,0.5,-0.21572050000000004,-0.19785983085236908,0.01786066914763096,-0.21572050000000004,safe,safe,0.01786066914763096,0.21572050000000004,True,True
1,0.55,-0.24229255000000005,-0.22439293067880878,0.017899619321191274,-0.24229255000000005,safe,safe,0.017899619321191274,0.24229255000000005,True,True
1,0.6000000000000001,-0.26886460000000006,-0.2509260305052485,0.01793856949475159,-0.26886460000000006,safe,safe,0.01793856949475159,0.26886460000000006,True,True
1,0.65,-0.2954366500000001,-0.2774591303316881,0.01797751966831196,-0.2954366500000001,safe,safe,0.01797751966831196,0.2954366500000001,True,True
1,0.7000000000000001,-0.3220087000000001,-0.3039922301581278,0.018016469841872274,-0.3220087000000001,safe,safe,0.018016469841872274,0.3220087000000001,True,True
1,0.75,-0.34858075000000005,-0.33052532998456746,0.01805542001543259,-0.34858075000000005,safe,safe,0.01805542001543259,0.34858075000000005,True,True
1,0.8,-0.37515280000000006,-0.35705842981100716,0.018094370188992903,-0.37515280000000006,safe,safe,0.018094370188992903,0.37515280000000006,True,True
1,0.8500000000000001,-0.4017248500000001,-0.38359152963744686,0.018133320362553218,-0.4017248500000001,safe,safe,0.018133320362553218,0.4017248500000001,True,True
1,0.9,-0.4282969000000001,-0.4101246294638865,0.01817227053611359,-0.4282969000000001,safe,safe,0.01817227053611359,0.4282969000000001,True,True
1,0.9500000000000001,-0.4548689500000001,-0.43665772929032626,0.018211220709673848,-0.4548689500000001,safe,safe,0.018211220709673848,0.4548689500000001,True,True
1,1.0,-0.48144100000000006,-0.46319082911676585,0.018250170883234218,-0.48144100000000006,safe,safe,0.018250170883234218,0.48144100000000006,True,True
1,1.05,-0.5080130500000002,-0.48972392894320554,0.018289121056794644,-0.5080130500000002,safe,safe,0.018289121056794644,0.5080130500000002,True,True
1,1.1,-0.5345851000000001,-0.5162570287696453,0.018328071230354848,-0.5345851000000001,safe,safe,0.018328071230354848,0.5345851000000001,True,True
1,1.1500000000000001,-0.5611571500000001,-0.5427901285960849,0.018367021403915218,-0.5611571500000001,safe,safe,0.018367021403915218,0.5611571500000001,True,True
1,1.2000000000000002,-0.5877292000000001,-0.5693232284225247,0.018405971577475366,-0.5877292000000001,safe,safe,0.018405971577475366,0.5877292000000001,True,True
1,1.25,-0.61430125,-0.5958563282489642,0.018444921751035848,-0.61430125,safe,safe,0.018444921751035848,0.61430125,True,True
1,1.3,-0.6408733000000002,-0.6223894280754039,0.01848387192459633,-0.6408733000000002,safe,safe,0.01848387192459633,0.6408733000000002,True,True
1,1.35,-0.6674453500000002,-0.6489225279018437,0.018522822098156477,-0.6674453500000002,safe,safe,0.018522822098156477,0.6674453500000002,True,True
1,1.4000000000000001,-0.6940174000000001,-0.6754556277282833,0.018561772271716848,-0.6940174000000001,safe,safe,0.018561772271716848,0.6940174000000001,True,True
1,1.4500000000000002,-0.7205894500000001,-0.701988727554723,0.018600722445277107,-0.7205894500000001,safe,safe,0.018600722445277107,0.7205894500000001,True,True
1,1.5,-0.7471615,-0.7285218273811627,0.018639672618837366,-0.7471615,safe,safe,0.018639672618837366,0.7471615,True,True
2,0.0,0.04999999999999999,0.041158104854077115,-0.008841895145922873,0.04999999999999999,decoy,decoy,0.008841895145922873,0.04999999999999999,True,True
2,0.05,0.023427949999999975,0.01459173564897892,-0.008836214351021054,0.023427949999999975,decoy,decoy,0.008836214351021054,0.023427949999999975,True,True
2,0.1,-0.0031441000000000385,-0.011974633556119219,-0.00883053355611918,-0.0031441000000000385,safe,safe,0.00883053355611918,0.0031441000000000385,False,True
2,0.15000000000000002,-0.029716149999999997,-0.03854100276121741,-0.008824852761217417,-0.029716149999999997,safe,safe,0.008824852761217417,0.029716149999999997,True,True
2,0.2,-0.05628820000000001,-0.06510737196631555,-0.008819171966315542,-0.05628820000000001,safe,safe,0.008819171966315542,0.05628820000000001,True,True
2,0.25,-0.08286025000000002,-0.09167374117141369,-0.008813491171413668,-0.08286025000000002,safe,safe,0.008813491171413668,0.08286025000000002,True,True
2,0.30000000000000004,-0.10943230000000004,-0.11824011037651189,-0.008807810376511849,-0.10943230000000004,safe,safe,0.008807810376511849,0.10943230000000004,True,True
2,0.35000000000000003,-0.13600435000000005,-0.14480647958161003,-0.008802129581609974,-0.13600435000000005,safe,safe,0.008802129581609974,0.13600435000000005,True,True
2,0.4,-0.1625764,-0.17137284878670817,-0.008796448786708155,-0.1625764,safe,safe,0.008796448786708155,0.1625764,True,True
2,0.45,-0.18914845000000008,-0.19793921799180636,-0.008790767991806281,-0.18914845000000008,safe,safe,0.008790767991806281,0.18914845000000008,True,True
