env,seed,lam,delta_exact,delta_learned,eps_score,delta_M,exact_decision,learned_decision,preserved
Env1_DoorKey-Lava,0,0.0,0.05699999999999997,0.04694964855909345,-0.010050351440906519,0.05699999999999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.001,0.05646855899999997,0.046427241515611735,-0.010041317484388232,0.05646855899999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.002,0.055937117999999966,0.045904834472130014,-0.010032283527869952,0.055937117999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.003,0.055405676999999966,0.0453824274286483,-0.010023249571351665,0.055405676999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.004,0.054874235999999965,0.04486002038516659,-0.010014215614833379,0.054874235999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.005,0.054342794999999965,0.044337613341684866,-0.010005181658315099,0.054342794999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.006,0.053811353999999964,0.04381520629820315,-0.009996147701796812,0.053811353999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.007,0.05327991299999997,0.04329279925472144,-0.009987113745278532,0.05327991299999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.008,0.05274847199999997,0.042770392211239724,-0.009978079788760245,0.05274847199999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.009,0.05221703099999997,0.042247985167758004,-0.009969045832241966,0.05221703099999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.01,0.05168558999999997,0.04172557812427629,-0.009960011875723679,0.05168558999999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.011,0.05115414899999997,0.041203171080794576,-0.009950977919205392,0.05115414899999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.012,0.05062270799999997,0.040680764037312855,-0.009941943962687112,0.05062270799999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.013,0.05009126699999997,0.04015835699383114,-0.009932910006168826,0.05009126699999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.014,0.04955982599999997,0.03963594995034943,-0.009923876049650539,0.04955982599999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.015,0.049028384999999966,0.03911354290686771,-0.009914842093132259,0.049028384999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.016,0.048496943999999965,0.03859113586338599,-0.009905808136613972,0.048496943999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.017,0.047965502999999965,0.03806872881990428,-0.009896774180095685,0.047965502999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.018,0.04743406199999997,0.03754632177642256,-0.009887740223577413,0.04743406199999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.019,0.046902620999999964,0.037023914732940845,-0.009878706267059119,0.046902620999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.02,0.04637117999999997,0.03650150768945913,-0.009869672310540839,0.04637117999999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.021,0.04583973899999996,0.03597910064597741,-0.009860638354022552,0.04583973899999996,decoy,decoy,True
Env1_DoorKey-Lava,0,0.022,0.04530829799999997,0.0354566936024957,-0.009851604397504272,0.04530829799999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.023,0.04477685699999997,0.03493428655901398,-0.009842570440985986,0.04477685699999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.024,0.04424541599999997,0.03441187951553226,-0.009833536484467706,0.04424541599999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.025,0.04371397499999997,0.03388947247205055,-0.00982450252794942,0.04371397499999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.026,0.04318253399999997,0.033367065428568835,-0.009815468571431132,0.04318253399999997,decoy,decoy,True
Env1_DoorKey-Lava,0,0.027,0.042651092999999966,0.032844658385087114,-0.009806434614912853,0.042651092999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.028,0.042119651999999966,0.0323222513416054,-0.009797400658394566,0.042119651999999966,decoy,decoy,True
Env1_DoorKey-Lava,0,0.029,0.041588210999999965,0.031799844298123686,-0.009788366701876279,0.041588210999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.03,0.041056769999999965,0.031277437254641965,-0.009779332745358,0.041056769999999965,decoy,decoy,True
Env1_DoorKey-Lava,0,0.031,0.040525328999999964,0.030755030211160255,-0.009770298788839709,0.040525328999999964,decoy,decoy,True
Env1_DoorKey-Lava,0,0.032,0.039993887999999964,0.030232623167678538,-0.009761264832321426,0.039993887999999964,decoy,decoy,True
