section,config,metric,value,expected,abs_error,ok
P1 reversible-zero,"k=1, m=4, reversible","D_w(s0, a_decoy)",0.0,0.0,0.0,True
P1 reversible-zero,"k=1, m=4, reversible",ΔV(s0),0.0,0.0,0.0,True
P1 reversible-zero,"k=3, m=4, reversible","D_w(s0, a_decoy)",0.0,0.0,0.0,True
P1 reversible-zero,"k=3, m=4, reversible",ΔV(s0),0.0,0.0,0.0,True
P1 reversible-zero,"k=5, m=4, reversible","D_w(s0, a_decoy)",0.0,0.0,0.0,True
P1 reversible-zero,"k=5, m=4, reversible",ΔV(s0),0.0,0.0,0.0,True
P1 reversible-zero,"k=10, m=4, reversible","D_w(s0, a_decoy)",0.0,0.0,0.0,True
P1 reversible-zero,"k=10, m=4, reversible",ΔV(s0),0.0,0.0,0.0,True
P1 reversible-zero,"k=20, m=4, reversible","D_w(s0, a_decoy)",0.0,0.0,0.0,True
P1 reversible-zero,"k=20, m=4, reversible",ΔV(s0),0.0,0.0,0.0,True
P2 additivity,"k_total=5, |A|=2, |B|=3",D_w(full) − [D_w(A) + D_w(B)],0.0,0.0,0.0,True
P2 additivity,"k_total=8, |A|=3, |B|=5",D_w(full) − [D_w(A) + D_w(B)],4.440892098500626e-16,0.0,4.440892098500626e-16,True
P2 additivity,"k_total=10, |A|=4, |B|=6",D_w(full) − [D_w(A) + D_w(B)],0.0,0.0,0.0,True
P2 additivity,"k_total=12, |A|=6, |B|=6",D_w(full) − [D_w(A) + D_w(B)],0.0,0.0,0.0,True
P3 representation-invariance,"L=2, F=3, action=splurge",D_w_resource − D_w_graph,0.0,0.0,0.0,True
P3 representation-invariance,"L=3, F=4, action=splurge",D_w_resource − D_w_graph,0.0,0.0,0.0,True
P3 representation-invariance,"L=4, F=4, action=splurge",D_w_resource − D_w_graph,0.0,0.0,0.0,True
P3 representation-invariance,"L=5, F=6, action=splurge",D_w_resource − D_w_graph,0.0,0.0,0.0,True
P3 representation-invariance,"L=6, F=8, action=splurge",D_w_resource − D_w_graph,0.0,0.0,0.0,True
S corridor scaling (k),"k=1, m=4",n_states,8,,,True
S corridor scaling (k),"k=1, m=4","D_w(s0, a_decoy)",0.6561,,,True
S corridor scaling (k),"k=1, m=4",ΔV(s0)  (V_mrc − V_obl),-0.3438999999999999,,,True
S corridor scaling (k),"k=3, m=4",n_states,10,,,True
S corridor scaling (k),"k=3, m=4","D_w(s0, a_decoy)",1.778031,,,True
S corridor scaling (k),"k=3, m=4",ΔV(s0)  (V_mrc − V_obl),0.7780310000000004,,,True
S corridor scaling (k),"k=5, m=4",n_states,12,,,True
S corridor scaling (k),"k=5, m=4","D_w(s0, a_decoy)",2.6867951100000003,,,True
S corridor scaling (k),"k=5, m=4",ΔV(s0)  (V_mrc − V_obl),1.6867951100000007,,,True
S corridor scaling (k),"k=10, m=4",n_states,17,,,True
S corridor scaling (k),"k=10, m=4","D_w(s0, a_decoy)",4.273320754503901,,,True
S corridor scaling (k),"k=10, m=4",ΔV(s0)  (V_mrc − V_obl),3.273320754503901,,,True
S corridor scaling (k),"k=15, m=4",n_states,22,,,True
S corridor scaling (k),"k=15, m=4","D_w(s0, a_decoy)",5.210148282327009,,,True
S corridor scaling (k),"k=15, m=4",ΔV(s0)  (V_mrc − V_obl),4.210148282327009,,,True
S corridor scaling (k),"k=20, m=4",n_states,27,,,True
S corridor scaling (k),"k=20, m=4","D_w(s0, a_decoy)",5.763335569231277,,,True
S corridor scaling (k),"k=20, m=4",ΔV(s0)  (V_mrc − V_obl),4.763335569231277,,,True
S corridor scaling (k),"k=25, m=4",n_states,32,,,True
S corridor scaling (k),"k=25, m=4","D_w(s0, a_decoy)",6.089987130275378,,,True
S corridor scaling (k),"k=25, m=4",ΔV(s0)  (V_mrc − V_obl),5.089987130275377,,,True
S corridor scaling (k),"k=30, m=4",n_states,37,,,True
S corridor scaling (k),"k=30, m=4","D_w(s0, a_decoy)",6.282871610556309,,,True
S corridor scaling (k),"k=30, m=4",ΔV(s0)  (V_mrc − V_obl),5.282871610556308,,,True
"S resource scaling (L, F)","L=3, F=4",n_states,21,,,True
"S resource scaling (L, F)","L=3, F=4",D_w(splurge),1.4580000000000002,,,True
"S resource scaling (L, F)","L=3, F=4",build+D_w runtime (ms),0.025510787963867188,,,True
"S resource scaling (L, F)","L=5, F=6",n_states,43,,,True
"S resource scaling (L, F)","L=5, F=6",D_w(splurge),1.1809800000000001,,,True
"S resource scaling (L, F)","L=5, F=6",build+D_w runtime (ms),0.022172927856445312,,,True
"S resource scaling (L, F)","L=8, F=10",n_states,100,,,True
"S resource scaling (L, F)","L=8, F=10",D_w(splurge),0.8609344200000002,,,True
"S resource scaling (L, F)","L=8, F=10",build+D_w runtime (ms),0.030994415283203125,,,True
"S resource scaling (L, F)","L=10, F=12",n_states,144,,,True
"S resource scaling (L, F)","L=10, F=12",D_w(splurge),0.6973568802000002,,,True
"S resource scaling (L, F)","L=10, F=12",build+D_w runtime (ms),0.03910064697265625,,,True
"S resource scaling (L, F)","L=12, F=15",n_states,209,,,True
"S resource scaling (L, F)","L=12, F=15",D_w(splurge),0.5648590729620002,,,True
"S resource scaling (L, F)","L=12, F=15",build+D_w runtime (ms),0.08797645568847656,,,True
